Stock,Close,S1,S1_Hits,S2,S2_Hits,S3,S3_Hits,S4,S4_Hits,S5,S5_Hits,R1,R1_Hits,R2,R2_Hits,R3,R3_Hits,R4,R4_Hits,R5,R5_Hits
HYUNDAI,1988.9,1981.5,3,1975.0,5.0,1971.1,2.0,1963.95,3.0,1957.1,1.0,1989.5,3,2006.6,1.0,2040.4,2.0,,,,
ICICIBANK,1352.4,1352.3,3,1348.4,1.0,1346.45,3.0,1337.3,2.0,1333.4,3.0,1362.7,1,,,,,,,,
ICICIPRULI,506.3,505.35,3,502.48,4.0,498.35,1.0,492.5,2.0,490.4,2.0,510.6,1,523.22,3.0,,,,,,
INDHOTEL,733.0,728.9,2,726.0,2.0,711.8,1.0,706.05,1.0,700.6,1.0,740.0,1,,,,,,,,
INDIGO,5021.1,4967.2,2,4920.0,1.0,4899.0,3.0,4877.0,3.0,4840.0,2.0,5022.0,4,5035.0,1.0,5057.4,1.0,,,,
INDUSINDBK,921.05,913.9,1,,,,,,,,,921.1,3,931.73,3.0,936.05,3.0,938.4,3.0,941.5,1.0
INFY,1065.4,1055.0,2,1030.0,1.0,,,,,,,1066.0,2,1080.3,1.0,1124.25,2.0,1142.9,3.0,1148.0,2.0
IOC,144.38,143.63,3,142.67,1.0,,,,,,,144.95,4,145.18,1.0,145.44,4.0,145.74,2.0,147.36,2.0
IRFC,100.9,100.86,4,99.85,2.0,99.41,2.0,98.84,2.0,98.25,1.0,101.2,1,,,,,,,,
ITC,291.25,290.02,3,288.2,3.0,287.5,1.0,,,,,292.13,5,293.95,1.0,294.55,1.0,,,,
JINDALSTEL,1132.0,1126.15,2,1122.1,3.0,,,,,,,1142.65,2,1148.9,3.0,1152.9,1.0,,,,
JIOFIN,243.38,243.16,5,242.5,1.0,242.03,3.0,241.22,1.0,239.86,2.0,244.87,3,246.4,1.0,246.85,1.0,,,,
JSWSTEEL,1282.4,1275.0,2,1268.4,3.0,,,,,,,1284.1,2,1289.5,6.0,1296.3,3.0,1302.5,1.0,,
KOTAKBANK,402.15,399.65,1,398.75,3.0,398.0,1.0,,,,,402.55,4,403.33,2.0,404.38,4.0,408.65,2.0,,
LICHSGFIN,548.5,546.68,3,545.15,1.0,,,,,,,550.5,4,553.58,5.0,556.15,2.0,560.95,1.0,,
LODHA,926.65,925.15,4,923.0,4.0,918.1,2.0,915.73,4.0,907.0,1.0,930.0,1,933.95,1.0,939.9,1.0,,,,
LT,4201.3,4190.0,4,4174.55,2.0,4163.6,2.0,,,,,4216.1,2,4235.4,2.0,4244.9,1.0,,,,
MANKIND,2538.3,2430.0,2,2409.9,2.0,2402.7,3.0,2395.0,1.0,2381.2,2.0,2543.5,2,,,,,,,,
MARICO,812.45,811.0,3,808.62,4.0,805.95,3.0,796.0,1.0,,,818.4,2,821.05,4.0,825.45,1.0,831.0,1.0,,
MARUTI,13421.0,13380.0,2,13353.0,1.0,,,,,,,13433.0,3,13501.0,4.0,13560.0,1.0,13661.0,2.0,13714.0,2.0
MAXHEALTH,1095.05,1079.1,1,1075.1,1.0,1035.0,2.0,1029.6,1.0,1026.5,5.0,1095.6,4,1101.53,2.0,,,,,,
MOTHERSON,145.85,145.46,3,143.16,2.0,142.62,2.0,,,,,146.05,2,146.46,1.0,147.02,1.0,147.59,3.0,149.08,1.0
